region,date,new_cases_7d_100k,new_tests_7d_100k,dose1_fraction,dose2_fraction
north east,2021-01-04,486.9021450286729,3527.606040732735,0.032,0.001
north west,2021-01-04,583.9103056232254,3634.189851353921,0.023,0.001
yorkshire and the humber,2021-01-04,336.3276574255306,3068.0540152248777,0.022000000000000002,0
east midlands,2021-01-04,474.8830007394651,3540.3132552841976,0.019,0.001
west midlands,2021-01-04,626.9762052376823,3871.9172125148525,0.024,0.001
east of england,2021-01-04,858.9862336419463,5610.230285987717,0.019,0.001
london,2021-01-04,1115.3916561732713,5207.749235544663,0.013999999999999999,0
south east,2021-01-04,772.8322881028158,4635.062570079085,0.024,0.001
south west,2021-01-04,386.75867993576895,4070.193304669266,0.027000000000000003,0.001
north east,2021-01-05,460.6468832082806,3761.1692543018744,0.034,0.002
north west,2021-01-05,599.057701224705,3686.865191993239,0.024,0.002
yorkshire and the humber,2021-01-05,329.07702335849007,3169.9626764979694,0.023,0.002
east midlands,2021-01-05,465.20543730179605,3615.355729034841,0.02,0.002
west midlands,2021-01-05,623.1676681490189,4008.316766477863,0.025,0.001
east of england,2021-01-05,797.2326169422033,5708.144485823768,0.02,0.002
london,2021-01-05,1055.9192081122462,5393.642290886697,0.016,0.001
south east,2021-01-05,726.6906180954979,4780.745698425726,0.025,0.001
south west,2021-01-05,383.13181725732375,4063.757401288887,0.027999999999999997,0.002
north east,2021-01-06,431.6200245623405,3867.9880941189335,0.036000000000000004,0.004
north west,2021-01-06,601.7003223997833,3879.027341049061,0.026000000000000002,0.004
yorkshire and the humber,2021-01-06,322.5169258692629,3420.6819702898456,0.025,0.004
east midlands,2021-01-06,456.74790857101266,3808.720890799036,0.022000000000000002,0.002
west midlands,2021-01-06,618.2131995469526,4093.874035500621,0.027000000000000003,0.003
east of england,2021-01-06,757.3036360067684,5982.14709515862,0.021,0.004
london,2021-01-06,1014.0418959736464,5538.824378327414,0.017,0.002
south east,2021-01-06,687.9372568760907,4987.531550845071,0.027000000000000003,0.003
south west,2021-01-06,382.9540298711255,4448.844879794393,0.03,0.004
north east,2021-01-07,428.36152559176406,3791.5819113605876,0.040999999999999995,0.005
north west,2021-01-07,614.5183972747765,4196.305343162067,0.031,0.005
yorkshire and the humber,2021-01-07,327.6596061724521,3633.966912758154,0.03,0.005
east midlands,2021-01-07,456.8719798971366,4003.244051607054,0.025,0.003
west midlands,2021-01-07,621.785809559327,4482.513337884479,0.03,0.004
east of england,2021-01-07,746.8162651104734,5865.567299415401,0.024,0.006
london,2021-01-07,1010.3318104950544,5425.622339068933,0.019,0.003
south east,2021-01-07,682.2956701364233,4898.926091416488,0.031,0.004
south west,2021-01-07,387.70095308261995,4491.211613925446,0.034,0.006
north east,2021-01-08,435.627603756038,3648.919582867187,0.048,0.006
north west,2021-01-08,652.2506686921314,4504.879041507678,0.036000000000000004,0.006
yorkshire and the humber,2021-01-08,338.7808794782887,3590.063324021387,0.035,0.006
east midlands,2021-01-08,480.2801034258575,4211.539129614833,0.03,0.004
west midlands,2021-01-08,649.0353868706919,4601.016137917576,0.035,0.005
east of england,2021-01-08,766.3317549893586,6191.830370143257,0.027000000000000003,0.006999999999999999
london,2021-01-08,1052.2646628354296,5804.262110652077,0.022000000000000002,0.004
south east,2021-01-08,701.7808427988128,5315.394534061894,0.036000000000000004,0.006
south west,2021-01-08,402.6884297391361,4629.796881467016,0.039,0.006999999999999999
north east,2021-01-09,407.01273923281457,4003.7588845596215,0.053,0.008
north west,2021-01-09,625.4430476995847,4713.441787959346,0.040999999999999995,0.008
yorkshire and the humber,2021-01-09,322.7713340821415,3969.2042492713476,0.04,0.006999999999999999
east midlands,2021-01-09,458.1747288214382,4434.185124344283,0.034,0.004
west midlands,2021-01-09,620.6735819139651,4752.430765092971,0.04,0.006999999999999999
east of england,2021-01-09,714.4561512439241,6196.432626178787,0.03,0.008
london,2021-01-09,997.8019409745395,5797.14185678448,0.024,0.005
south east,2021-01-09,661.8015213840548,5426.262562701626,0.040999999999999995,0.006999999999999999
south west,2021-01-09,392.9101234982299,4825.949704659594,0.043,0.008
north east,2021-01-10,383.52907423797006,4010.8751466792714,0.055,0.01
north west,2021-01-10,607.1217823362841,4706.726260952575,0.043,0.009000000000000001
yorkshire and the humber,2021-01-10,310.25081560547244,3955.5025498063133,0.042,0.008
east midlands,2021-01-10,440.7427075010215,4453.78839387187,0.036000000000000004,0.005
west midlands,2021-01-10,602.962199258279,4791.7126232950695,0.044000000000000004,0.008
east of england,2021-01-10,670.0211286848516,6149.720529204922,0.031,0.008
london,2021-01-10,934.8082441209585,5789.299580293803,0.025,0.005
south east,2021-01-10,629.0586198834469,5472.154700987766,0.043,0.008
south west,2021-01-10,381.5672882587788,4889.864269997881,0.044000000000000004,0.01
north east,2021-01-11,360.75703545509054,4016.6805184084596,0.057999999999999996,0.01
north west,2021-01-11,596.3469712564546,4877.679331814598,0.045,0.009000000000000001
yorkshire and the humber,2021-01-11,298.92965013237404,3968.8408089672353,0.044000000000000004,0.008
east midlands,2021-01-11,425.15107751811024,4559.538520838192,0.038,0.005
west midlands,2021-01-11,581.0883888994962,4811.816980581684,0.047,0.008
east of england,2021-01-11,618.1615606747324,6043.531889946107,0.033,0.009000000000000001
london,2021-01-11,871.5146301777909,5583.245431707323,0.027000000000000003,0.005
south east,2021-01-11,589.5675127057756,5361.612148506092,0.045,0.008
south west,2021-01-11,372.98015750540117,4817.0069991338205,0.047,0.01
north east,2021-01-12,349.1837460078706,4001.8487299906624,0.062,0.01
north west,2021-01-12,577.412726754605,4981.626971953889,0.049,0.009000000000000001
yorkshire and the humber,2021-01-12,293.2963254186332,4118.469182170273,0.048,0.008
east midlands,2021-01-12,419.7539748317179,4621.76029088936,0.042,0.005
west midlands,2021-01-12,574.195947885057,4766.771760944531,0.05,0.008
east of england,2021-01-12,585.5609107784516,5984.360026632149,0.035,0.009000000000000001
london,2021-01-12,819.2957324686242,5462.878706419826,0.028999999999999998,0.006
south east,2021-01-12,554.9585478989701,5335.498111424593,0.048,0.009000000000000001
south west,2021-01-12,357.99268084888496,4974.686631953086,0.05,0.01
north east,2021-01-13,344.8016267026125,3986.5300394278374,0.067,0.01
north west,2021-01-13,560.6034765997257,5029.561940588427,0.054000000000000006,0.01
yorkshire and the humber,2021-01-13,286.8634320358454,4053.3043356429357,0.054000000000000006,0.008
