region,date,new_cases_7d_100k,new_tests_7d_100k,dose1_fraction,dose2_fraction
alt pirineu-aran,2021-01-04,438.4856637483835,3460.3207634109726,0.4934821707269944,0
barcelona,2021-01-04,254.51017420660438,2444.7148984114665,0.140541581116408,0
tarragona,2021-01-04,314.1452535283775,2631.5832756303876,0.11661203390137154,0
catalunya central,2021-01-04,319.3796860856348,3186.2061374793866,0.2844623585516141,0
girona,2021-01-04,294.51594598452226,2629.9879431809345,0.10478640631364207,0
lleida,2021-01-04,230.12264020945295,2673.832162050434,0.3304395755821965,0
metropolitana nord,2021-01-04,247.67979569312075,3240.5822262682577,0.13917197708798246,0
metropolitana sud,2021-01-04,278.32311599325607,2383.438060157189,0.1141744892606673,0
terres de lebre,2021-01-04,274.86044893873327,2473.744040448599,0.10462794867009394,0
alt pirineu-aran,2021-01-05,431.0537033458686,3710.0346329354757,0.7476552164930065,0
barcelona,2021-01-05,269.0957920787694,2416.665633272688,0.3328119122571746,0
tarragona,2021-01-05,319.4084200796383,2736.3531847914223,0.23930960412763838,0
catalunya central,2021-01-05,324.88296053393145,3305.1907264132506,0.553363734180458,0
girona,2021-01-05,295.67637130361015,2686.500656220518,0.23684280762585105,0
lleida,2021-01-05,249.96555050296266,2574.066418630288,0.6286344219374397,0
metropolitana nord,2021-01-05,267.01483158378113,3345.061912396175,0.27275492036382093,0
metropolitana sud,2021-01-05,288.1720335972114,2474.923561456151,0.29138205118664867,0
terres de lebre,2021-01-05,296.9171516313477,2491.841847786129,0.3020071599450279,0
alt pirineu-aran,2021-01-06,392.4075092527907,3265.6034008650804,0.7550871768955215,0
barcelona,2021-01-06,236.6767466867913,1982.1677535018769,0.3815290569718958,0
tarragona,2021-01-06,292.43469150442684,2321.549870970183,0.2565793693739628,0
catalunya central,2021-01-06,278.5795479344693,2610.449769336893,0.5892299021365989,0
girona,2021-01-06,265.04114287968827,2261.2047767747836,0.251580209178268,0
lleida,2021-01-06,227.64227642276424,2050.7096596389692,0.8017086950530522,0
metropolitana nord,2021-01-06,244.1048281195872,2896.932174305349,0.3064401782045808,0
metropolitana sud,2021-01-06,261.17870386785233,2069.804750680122,0.33041294687639755,0
terres de lebre,2021-01-06,279.3849007731157,2157.0324120418286,0.3359405487028962,0
alt pirineu-aran,2021-01-07,344.84296267669487,3067.913254158182,1.187627272321893,0
barcelona,2021-01-07,260.1200272343602,2053.383361412124,0.614957994011039,0
tarragona,2021-01-07,297.5333841009607,2403.2934264694513,0.4054282984018066,0
catalunya central,2021-01-07,304.3880074161367,2732.0911114526934,0.895895126565824,0
girona,2021-01-07,274.20850290048304,2438.8658931271493,0.4445589397425944,0
lleida,2021-01-07,243.07565109549398,2008.2678792889626,1.0976987735979054,0
metropolitana nord,2021-01-07,265.05111700113594,2917.7274082190015,0.4847353919775714,0
metropolitana sud,2021-01-07,287.369529199852,2291.36891929651,0.5669328792617543,0
