areaCode,areaName,areaType,date,cumVaccinationFirstDoseUptakeByPublishDatePercentage,cumVaccinationSecondDoseUptakeByPublishDatePercentage,tests,cases
N92000002,Northern Ireland,nation,29/12/2020,,,17051,2332
N92000002,Northern Ireland,nation,30/12/2020,,,13809,2246
N92000002,Northern Ireland,nation,31/12/2020,,,8911,1735
N92000002,Northern Ireland,nation,01/01/2021,,,5700,1228
N92000002,Northern Ireland,nation,02/01/2021,,,8969,1920
N92000002,Northern Ireland,nation,03/01/2021,,,8020,1639
N92000002,Northern Ireland,nation,04/01/2021,2.5,0.2,14321,2010
N92000002,Northern Ireland,nation,05/01/2021,2.8,0.3,14896,1598
N92000002,Northern Ireland,nation,06/01/2021,3.2,0.4,12349,1489
N92000002,Northern Ireland,nation,07/01/2021,3.6,0.5,10540,1187
N92000002,Northern Ireland,nation,08/01/2021,3.9,0.6,8363,1187
N92000002,Northern Ireland,nation,09/01/2021,4.2,0.6,6220,975
N92000002,Northern Ireland,nation,10/01/2021,4.9,0.9,6466,824
N92000002,Northern Ireland,nation,11/01/2021,5.3,1,11420,1245
N92000002,Northern Ireland,nation,12/01/2021,5.7,1.1,12432,1087
N92000002,Northern Ireland,nation,13/01/2021,6.4,1.2,11370,1026
N92000002,Northern Ireland,nation,14/01/2021,7.2,1.2,9406,872
N92000002,Northern Ireland,nation,15/01/2021,7.4,1.2,7083,821
N92000002,Northern Ireland,nation,16/01/2021,7.5,1.3,5017,654
N92000002,Northern Ireland,nation,17/01/2021,7.9,1.3,4874,588
N92000002,Northern Ireland,nation,18/01/2021,8.3,1.4,10821,880
N92000002,Northern Ireland,nation,19/01/2021,8.7,1.4,11933,835
N92000002,Northern Ireland,nation,20/01/2021,9,1.4,9953,753
N92000002,Northern Ireland,nation,21/01/2021,9.5,1.4,8040,716
N92000002,Northern Ireland,nation,22/01/2021,9.7,1.4,6185,586
N92000002,Northern Ireland,nation,23/01/2021,9.7,1.4,4305,437
N92000002,Northern Ireland,nation,24/01/2021,10,1.4,4054,412
N92000002,Northern Ireland,nation,25/01/2021,10.2,1.4,9128,589
N92000002,Northern Ireland,nation,26/01/2021,10.5,1.4,11912,606
N92000002,Northern Ireland,nation,27/01/2021,11,1.5,9876,583
N92000002,Northern Ireland,nation,28/01/2021,12.3,1.5,7916,475
N92000002,Northern Ireland,nation,29/01/2021,12.8,1.5,6177,506
N92000002,Northern Ireland,nation,30/01/2021,13.4,1.5,3719,375
N92000002,Northern Ireland,nation,31/01/2021,13.9,1.5,4534,370
N92000002,Northern Ireland,nation,01/02/2021,14.6,1.6,9235,491
N92000002,Northern Ireland,nation,02/02/2021,15.4,1.6,11508,424
N92000002,Northern Ireland,nation,03/02/2021,16.5,1.6,9665,448
N92000002,Northern Ireland,nation,04/02/2021,17.2,1.6,8226,374
N92000002,Northern Ireland,nation,05/02/2021,18.1,1.7,5872,405
N92000002,Northern Ireland,nation,06/02/2021,18.5,1.7,3464,300
N92000002,Northern Ireland,nation,07/02/2021,19,1.7,3996,267
N92000002,Northern Ireland,nation,08/02/2021,19.9,1.7,8564,340
N92000002,Northern Ireland,nation,09/02/2021,20.9,1.7,9402,305
N92000002,Northern Ireland,nation,10/02/2021,22.1,1.8,8950,331
N92000002,Northern Ireland,nation,11/02/2021,23.4,1.8,7079,278
N92000002,Northern Ireland,nation,12/02/2021,24.3,1.8,5183,272
N92000002,Northern Ireland,nation,13/02/2021,24.5,1.8,2676,185
N92000002,Northern Ireland,nation,14/02/2021,24.9,1.8,3651,243
N92000002,Northern Ireland,nation,15/02/2021,25.6,1.8,8493,362
N92000002,Northern Ireland,nation,16/02/2021,26.2,1.8,9675,309
N92000002,Northern Ireland,nation,17/02/2021,26.8,1.9,8998,322
N92000002,Northern Ireland,nation,18/02/2021,27.3,1.9,7375,266
N92000002,Northern Ireland,nation,19/02/2021,27.7,1.9,5656,280
N92000002,Northern Ireland,nation,20/02/2021,27.9,1.9,3302,220
N92000002,Northern Ireland,nation,21/02/2021,28.7,1.9,3582,181
N92000002,Northern Ireland,nation,22/02/2021,29.3,1.9,8958,252
N92000002,Northern Ireland,nation,23/02/2021,29.9,2,9530,246
N92000002,Northern Ireland,nation,24/02/2021,30.8,2,8730,260
N92000002,Northern Ireland,nation,25/02/2021,31.6,2,7772,232
N92000002,Northern Ireland,nation,26/02/2021,32.3,2,4802,171
N92000002,Northern Ireland,nation,27/02/2021,32.6,2,2999,138
N92000002,Northern Ireland,nation,28/02/2021,32.9,2.1,3316,123
N92000002,Northern Ireland,nation,01/03/2021,33.6,2.2,8765,178
N92000002,Northern Ireland,nation,02/03/2021,34.1,2.4,10278,209
N92000002,Northern Ireland,nation,03/03/2021,34.8,2.5,8753,162
N92000002,Northern Ireland,nation,04/03/2021,35.5,2.6,7602,164
N92000002,Northern Ireland,nation,05/03/2021,36.1,2.6,4781,141
N92000002,Northern Ireland,nation,06/03/2021,36.5,2.6,2902,143
N92000002,Northern Ireland,nation,07/03/2021,36.8,2.7,3397,151
N92000002,Northern Ireland,nation,08/03/2021,37.3,2.8,8549,220
N92000002,Northern Ireland,nation,09/03/2021,37.6,2.9,10029,177
N92000002,Northern Ireland,nation,10/03/2021,38,3.1,8947,198
N92000002,Northern Ireland,nation,11/03/2021,38.5,3.1,7561,192
N92000002,Northern Ireland,nation,12/03/2021,38.9,3.1,4912,160
N92000002,Northern Ireland,nation,13/03/2021,39.1,3.3,3277,133
N92000002,Northern Ireland,nation,14/03/2021,39.4,3.4,3041,112
N92000002,Northern Ireland,nation,15/03/2021,39.7,3.6,8980,176
N92000002,Northern Ireland,nation,16/03/2021,40.1,4,11051,172
N92000002,Northern Ireland,nation,17/03/2021,40.4,4.2,6690,144
N92000002,Northern Ireland,nation,18/03/2021,41,4.4,7936,169
N92000002,Northern Ireland,nation,19/03/2021,41.5,4.7,5416,123
N92000002,Northern Ireland,nation,20/03/2021,41.8,4.9,3259,122
N92000002,Northern Ireland,nation,21/03/2021,43,5.5,3664,107
N92000002,Northern Ireland,nation,22/03/2021,43,5.5,9285,174
N92000002,Northern Ireland,nation,23/03/2021,43.5,6,11374,148
N92000002,Northern Ireland,nation,24/03/2021,44,6.6,10397,166
N92000002,Northern Ireland,nation,25/03/2021,44.5,7.1,8869,167
N92000002,Northern Ireland,nation,26/03/2021,45,7.5,5795,134
N92000002,Northern Ireland,nation,27/03/2021,45.5,7.7,3435,121
N92000002,Northern Ireland,nation,28/03/2021,45.7,7.8,7525,92
N92000002,Northern Ireland,nation,29/03/2021,46.4,8.3,9802,134
N92000002,Northern Ireland,nation,30/03/2021,46.9,8.7,12339,107
N92000002,Northern Ireland,nation,31/03/2021,47.3,9.1,10557,122
N92000002,Northern Ireland,nation,01/04/2021,47.9,9.6,8068,94
N92000002,Northern Ireland,nation,02/04/2021,48.3,10,4471,77
N92000002,Northern Ireland,nation,03/04/2021,48.6,10.2,2460,49
N92000002,Northern Ireland,nation,04/04/2021,48.8,10.3,3455,36
N92000002,Northern Ireland,nation,05/04/2021,49.2,10.3,6237,55
N92000002,Northern Ireland,nation,06/04/2021,49.5,10.5,9868,93
N92000002,Northern Ireland,nation,07/04/2021,50,10.9,11118,108
