areaCode,areaName,areaType,date,cumCasesBySpecimenDate,cumCasesBySpecimenDateRate,newCasesBySpecimenDate,newCasesBySpecimenDateRollingRate
E12000001,North East,region,2022-01-29,737063,27494.5,1320,
E12000001,North East,region,2022-01-28,735743,27445.3,2444,
E12000001,North East,region,2022-01-27,733299,27354.1,3160,
E12000001,North East,region,2022-01-26,730139,27236.2,3765,
E12000001,North East,region,2022-01-25,726374,27095.8,4134,1077.6
E12000001,North East,region,2022-01-24,722240,26941.6,4577,1127.9
E12000001,North East,region,2022-01-23,717663,26770.8,3885,1192.2
E12000001,North East,region,2022-01-22,713778,26625.9,3087,1226.6
E12000001,North East,region,2022-01-21,710691,26510.8,3813,1259.8
E12000001,North East,region,2022-01-20,706878,26368.5,4354,1288.7
E12000001,North East,region,2022-01-19,702524,26206.1,5037,1313.7
E12000001,North East,region,2022-01-18,697487,26018.2,5483,1340.0
E12000001,North East,region,2022-01-17,692004,25813.7,6301,1381.0
E12000001,North East,region,2022-01-16,685703,25578.7,4807,1419.7
E12000001,North East,region,2022-01-15,680896,25399.3,3976,1440.1
E12000001,North East,region,2022-01-14,676920,25251.0,4588,1486.4
E12000001,North East,region,2022-01-13,672332,25079.9,5025,1588.8
E12000001,North East,region,2022-01-12,667307,24892.4,5742,1764.8
E12000001,North East,region,2022-01-11,661565,24678.2,6581,2020.5
E12000001,North East,region,2022-01-10,654984,24432.7,7339,2320.2
E12000001,North East,region,2022-01-09,647645,24159.0,5356,2475.3
E12000001,North East,region,2022-01-08,642289,23959.2,5217,2578.7
E12000001,North East,region,2022-01-07,637072,23764.6,7331,2586.4
E12000001,North East,region,2022-01-06,629741,23491.1,9744,2625.0
E12000001,North East,region,2022-01-05,619997,23127.6,12597,2607.5
E12000001,North East,region,2022-01-04,607400,22657.7,14615,2498.1
E12000001,North East,region,2022-01-03,592785,22112.5,11498,2210.8
E12000001,North East,region,2022-01-02,581287,21683.6,8127,1986.4
E12000001,North East,region,2022-01-01,573160,21380.5,5424,1819.1
E12000001,North East,region,2021-12-31,567736,21178.1,8366,1690.7
E12000001,North East,region,2021-12-30,559370,20866.1,9274,1514.8
E12000001,North East,region,2021-12-29,550096,20520.1,9664,1317.4
E12000001,North East,region,2021-12-28,540432,20159.6,6913,1095.3
E12000001,North East,region,2021-12-27,533519,19901.8,5483,948.2
E12000001,North East,region,2021-12-26,528036,19697.2,3643,841.7
E12000001,North East,region,2021-12-25,524393,19561.3,1980,770.0
E12000001,North East,region,2021-12-24,522413,19487.5,3652,756.1
E12000001,North East,region,2021-12-23,518761,19351.2,3982,683.6
E12000001,North East,region,2021-12-22,514779,19202.7,3709,604.4
E12000001,North East,region,2021-12-21,511070,19064.3,2970,542.8
E12000001,North East,region,2021-12-20,508100,18953.6,2628,505.1
E12000001,North East,region,2021-12-19,505472,18855.5,1722,480.9
E12000001,North East,region,2021-12-18,503750,18791.3,1606,467.0
E12000001,North East,region,2021-12-17,502144,18731.4,1710,452.1
E12000001,North East,region,2021-12-16,500434,18667.6,1858,437.6
E12000001,North East,region,2021-12-15,498576,18598.3,2057,427.2
E12000001,North East,region,2021-12-14,496519,18521.6,1960,413.9
E12000001,North East,region,2021-12-13,494559,18448.4,1978,396.0
E12000001,North East,region,2021-12-12,492581,18374.7,1350,386.5
E12000001,North East,region,2021-12-11,491231,18324.3,1207,381.5
E12000001,North East,region,2021-12-10,490024,18279.3,1322,378.7
