areaCode,areaName,areaType,date,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,cumVaccinationThirdInjectionUptakeByVaccinationDatePercentage
E12000001,North East,region,2022-01-29,84.3,78.6,61.4
E12000001,North East,region,2022-01-28,84.3,78.6,61.4
E12000001,North East,region,2022-01-27,84.2,78.5,61.3
E12000001,North East,region,2022-01-26,84.2,78.5,61.2
E12000001,North East,region,2022-01-25,84.2,78.4,61.2
E12000001,North East,region,2022-01-24,84.2,78.4,61.1
E12000001,North East,region,2022-01-23,84.2,78.4,61.0
E12000001,North East,region,2022-01-22,84.2,78.3,61.0
E12000001,North East,region,2022-01-21,84.1,78.3,60.9
E12000001,North East,region,2022-01-20,84.1,78.2,60.8
E12000001,North East,region,2022-01-19,84.1,78.2,60.7
E12000001,North East,region,2022-01-18,84.1,78.1,60.6
E12000001,North East,region,2022-01-17,84.0,78.1,60.5
E12000001,North East,region,2022-01-16,84.0,78.1,60.5
E12000001,North East,region,2022-01-15,84.0,78.0,60.4
E12000001,North East,region,2022-01-14,84.0,78.0,60.3
E12000001,North East,region,2022-01-13,83.9,77.9,60.1
E12000001,North East,region,2022-01-12,83.9,77.9,60.0
E12000001,North East,region,2022-01-11,83.9,77.8,59.8
E12000001,North East,region,2022-01-10,83.8,77.8,59.6
E12000001,North East,region,2022-01-09,83.8,77.8,59.4
E12000001,North East,region,2022-01-08,83.8,77.7,59.3
E12000001,North East,region,2022-01-07,83.7,77.7,58.9
E12000001,North East,region,2022-01-06,83.7,77.6,58.5
E12000001,North East,region,2022-01-05,83.7,77.5,58.2
E12000001,North East,region,2022-01-04,83.6,77.5,57.7
E12000001,North East,region,2022-01-03,83.6,77.4,57.4
E12000001,North East,region,2022-01-02,83.6,77.4,57.1
E12000001,North East,region,2022-01-01,83.6,77.3,56.8
E12000001,North East,region,2021-12-31,83.5,77.3,56.8
E12000001,North East,region,2021-12-30,83.5,77.3,56.6
E12000001,North East,region,2021-12-29,83.5,77.2,55.9
E12000001,North East,region,2021-12-28,83.4,77.2,55.3
E12000001,North East,region,2021-12-27,83.4,77.1,54.7
E12000001,North East,region,2021-12-26,83.4,77.1,54.3
E12000001,North East,region,2021-12-25,83.4,77.1,54.3
E12000001,North East,region,2021-12-24,83.4,77.1,54.3
E12000001,North East,region,2021-12-23,83.4,77.1,54.1
E12000001,North East,region,2021-12-22,83.3,77.0,53.2
E12000001,North East,region,2021-12-21,83.3,76.9,51.8
E12000001,North East,region,2021-12-20,83.3,76.8,50.3
E12000001,North East,region,2021-12-19,83.2,76.8,48.9
E12000001,North East,region,2021-12-18,83.2,76.7,47.6
E12000001,North East,region,2021-12-17,83.1,76.6,46.3
E12000001,North East,region,2021-12-16,83.1,76.5,45.2
E12000001,North East,region,2021-12-15,83.0,76.5,43.6
E12000001,North East,region,2021-12-14,83.0,76.4,42.4
E12000001,North East,region,2021-12-13,82.9,76.4,41.4
E12000001,North East,region,2021-12-12,82.9,76.3,40.7
E12000001,North East,region,2021-12-11,82.9,76.3,39.9
E12000001,North East,region,2021-12-10,82.8,76.2,39.1
E12000001,North East,region,2021-12-09,82.8,76.1,38.3
E12000001,North East,region,2021-12-08,82.8,76.1,37.5
E12000001,North East,region,2021-12-07,82.7,76.0,36.8
E12000001,North East,region,2021-12-06,82.7,76.0,36.2
E12000001,North East,region,2021-12-05,82.7,75.9,35.7
E12000001,North East,region,2021-12-04,82.7,75.9,35.2
E12000001,North East,region,2021-12-03,82.6,75.9,34.4
E12000001,North East,region,2021-12-02,82.6,75.8,33.7
E12000001,North East,region,2021-12-01,82.6,75.8,32.9
E12000001,North East,region,2021-11-30,82.5,75.7,32.3
E12000001,North East,region,2021-11-29,82.5,75.7,31.7
E12000001,North East,region,2021-11-28,82.5,75.6,31.2
E12000001,North East,region,2021-11-27,82.5,75.6,30.8
E12000001,North East,region,2021-11-26,82.5,75.6,30.0
E12000001,North East,region,2021-11-25,82.4,75.5,29.4
E12000001,North East,region,2021-11-24,82.4,75.5,28.7
E12000001,North East,region,2021-11-23,82.4,75.5,28.1
E12000001,North East,region,2021-11-22,82.3,75.4,27.6
E12000001,North East,region,2021-11-21,82.3,75.4,27.1
E12000001,North East,region,2021-11-20,82.3,75.4,26.7
E12000001,North East,region,2021-11-19,82.3,75.4,26.0
E12000001,North East,region,2021-11-18,82.2,75.3,25.4
E12000001,North East,region,2021-11-17,82.2,75.3,24.8
E12000001,North East,region,2021-11-16,82.1,75.3,24.2
E12000001,North East,region,2021-11-15,82.1,75.2,23.6
E12000001,North East,region,2021-11-14,82.0,75.2,23.2
E12000001,North East,region,2021-11-13,82.0,75.2,22.7
E12000001,North East,region,2021-11-12,82.0,75.2,21.9
E12000001,North East,region,2021-11-11,81.9,75.1,21.4
E12000001,North East,region,2021-11-10,81.8,75.1,20.7
E12000001,North East,region,2021-11-09,81.8,75.1,20.0
E12000001,North East,region,2021-11-08,81.7,75.0,19.4
E12000001,North East,region,2021-11-07,81.7,75.0,19.0
E12000001,North East,region,2021-11-06,81.6,75.0,18.6
E12000001,North East,region,2021-11-05,81.6,74.9,17.9
E12000001,North East,region,2021-11-04,81.5,74.9,17.4
E12000001,North East,region,2021-11-03,81.4,74.9,16.7
E12000001,North East,region,2021-11-02,81.4,74.8,16.2
E12000001,North East,region,2021-11-01,81.3,74.8,15.7
E12000001,North East,region,2021-10-31,81.2,74.8,15.3
E12000001,North East,region,2021-10-30,81.1,74.8,15.0
E12000001,North East,region,2021-10-29,81.1,74.7,14.3
E12000001,North East,region,2021-10-28,81.0,74.7,13.9
E12000001,North East,region,2021-10-27,80.9,74.7,13.4
E12000001,North East,region,2021-10-26,80.9,74.6,12.9
E12000001,North East,region,2021-10-25,80.8,74.6,12.5
E12000001,North East,region,2021-10-24,80.8,74.6,12.2
E12000001,North East,region,2021-10-23,80.8,74.6,11.9
E12000001,North East,region,2021-10-22,80.7,74.5,11.3
E12000001,North East,region,2021-10-21,80.7,74.5,10.8
E12000001,North East,region,2021-10-20,80.6,74.4,10.2
E12000001,North East,region,2021-10-19,80.5,74.4,9.7
E12000001,North East,region,2021-10-18,80.5,74.3,9.3
E12000001,North East,region,2021-10-17,80.4,74.3,9.0
E12000001,North East,region,2021-10-16,80.4,74.3,8.8
E12000001,North East,region,2021-10-15,80.4,74.2,8.2
E12000001,North East,region,2021-10-14,80.3,74.2,7.8
E12000001,North East,region,2021-10-13,80.2,74.1,7.3
