areaCode,areaName,areaType,date,first_dose,second_dose,cases,tests
S92000003,Scotland,nation,27/12/2020,1.9,0,1682,13379
S92000003,Scotland,nation,28/12/2020,1.9,0,1809,20659
S92000003,Scotland,nation,29/12/2020,2,0,3137,35115
S92000003,Scotland,nation,30/12/2020,2.2,0,2974,31402
S92000003,Scotland,nation,31/12/2020,2.3,0,2379,18721
S92000003,Scotland,nation,01/01/2021,2.3,0,1161,8394
S92000003,Scotland,nation,02/01/2021,2.3,0,2213,15249
S92000003,Scotland,nation,03/01/2021,2.3,0,2221,17059
S92000003,Scotland,nation,04/01/2021,2.3,0,2383,24457
S92000003,Scotland,nation,05/01/2021,2.5,0,3054,37305
S92000003,Scotland,nation,06/01/2021,2.7,0,2550,30396
S92000003,Scotland,nation,07/01/2021,2.9,0,2201,25212
S92000003,Scotland,nation,08/01/2021,3.1,0.1,1826,21496
S92000003,Scotland,nation,09/01/2021,3.2,0.1,1499,13711
S92000003,Scotland,nation,10/01/2021,3.3,0.1,1425,13424
S92000003,Scotland,nation,11/01/2021,3.5,0.1,2092,29255
S92000003,Scotland,nation,12/01/2021,3.8,0.1,1991,31071
S92000003,Scotland,nation,13/01/2021,4.2,0.1,1716,25123
S92000003,Scotland,nation,14/01/2021,4.5,0.1,1629,20727
S92000003,Scotland,nation,15/01/2021,4.9,0.1,1538,20023
S92000003,Scotland,nation,16/01/2021,5.3,0.1,1178,12465
S92000003,Scotland,nation,17/01/2021,5.4,0.1,1201,11206
S92000003,Scotland,nation,18/01/2021,5.7,0.1,1744,28889
S92000003,Scotland,nation,19/01/2021,6.2,0.1,1554,30014
S92000003,Scotland,nation,20/01/2021,6.7,0.1,1582,24797
S92000003,Scotland,nation,21/01/2021,7.2,0.1,1244,21364
S92000003,Scotland,nation,22/01/2021,7.7,0.1,1231,18943
S92000003,Scotland,nation,23/01/2021,8.2,0.1,940,11624
S92000003,Scotland,nation,24/01/2021,8.4,0.1,862,10713
S92000003,Scotland,nation,25/01/2021,8.8,0.1,1326,26421
S92000003,Scotland,nation,26/01/2021,9.3,0.2,1182,27251
S92000003,Scotland,nation,27/01/2021,9.9,0.2,1118,22619
S92000003,Scotland,nation,28/01/2021,10.4,0.2,1117,21072
S92000003,Scotland,nation,29/01/2021,10.9,0.2,965,17476
S92000003,Scotland,nation,30/01/2021,11.5,0.2,781,10537
S92000003,Scotland,nation,31/01/2021,11.6,0.2,810,9806
S92000003,Scotland,nation,01/02/2021,12.2,0.2,1104,24555
S92000003,Scotland,nation,02/02/2021,13,0.2,1051,27108
S92000003,Scotland,nation,03/02/2021,13.8,0.2,939,21782
S92000003,Scotland,nation,04/02/2021,14.8,0.2,901,20883
S92000003,Scotland,nation,05/02/2021,15.8,0.2,940,17945
S92000003,Scotland,nation,06/02/2021,16.9,0.3,710,9914
S92000003,Scotland,nation,07/02/2021,17.4,0.3,656,9200
S92000003,Scotland,nation,08/02/2021,18.5,0.3,992,23517
S92000003,Scotland,nation,09/02/2021,19.7,0.3,760,21985
S92000003,Scotland,nation,10/02/2021,21,0.3,848,18374
S92000003,Scotland,nation,11/02/2021,22.3,0.3,847,20215
S92000003,Scotland,nation,12/02/2021,23.5,0.3,907,17617
S92000003,Scotland,nation,13/02/2021,24.6,0.3,544,9782
S92000003,Scotland,nation,14/02/2021,25.2,0.3,683,9258
S92000003,Scotland,nation,15/02/2021,25.8,0.4,968,24548
